Property Name,Type,Format
createAt,integer,int64
createBy,integer,int64
createDept,integer,int64
createTime,string,date-time
deviceQty,integer,int32
id,string,
name,string,
remark,string,
uid,string,
updateBy,integer,int64
updateTime,string,date-time
