Property Name,Type,Format
createBy,integer,int64
createDept,integer,int64
createTime,string,date-time
deviceId,string,
deviceName,string,
group,string,
keyword,string,
model,string,
online,boolean,
parentId,string,
productKey,string,
uid,string,
updateBy,integer,int64
updateTime,string,date-time
